Manufacturer,Name,Total (kgCO2eq),Error (%),Date,Weight,Screen size,Assembly Location,Lifetime,Use Location,Yearly TEC (kWh),Added Date,Add Method,Use (%),Manufacturing,Sources
Dell,Dell U2717DWH Monitor,566.0,17.49,"December, 2018",3.6805,27.0,China,6.0,EU,59.004,2021-10-18,Dell Auto Parser,32.8,61.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-U2717DWH-monitor.pdf
Dell,,537.0,18.81,"December, 2018",4.2146,29.0,China,6.0,EU,46.503,2021-10-18,Dell Auto Parser,,65.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-U2917W-monitor.pdf
Dell,Dell U3417W Monitor,831.0,15.88,"December, 2018",15.91,34.0,China,6.0,EU,97.1925,2021-10-18,Dell Auto Parser,36.8,49.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-U3417W-monitor.pdf
Dell,Dell U3415W Monitor,846.0,15.84,"December, 2018",16.79,34.0,China,6.0,EU,86.9415,2021-10-18,Dell Auto Parser,37.3,53.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-U3415W-monitor.pdf
Dell,Dell U3818DW Monitor,926.0,14.79,"December, 2018",18.26,40.0,China,6.0,EU,107.2155,2021-10-18,Dell Auto Parser,3265.0,43.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-U3818DW-monitor.pdf
Dell,Dell SE2416H Monitor,475.0,20.21,"December, 2018",6.2,23.0,China,6.0,EU,32.0899,2021-10-18,Dell Auto Parser,21.2,70.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-SE2416H-monitor.pdf
Dell,Dell SE2216H Monitor,449.0,18.93,"December, 2018",5.281,21.0,China,6.0,EU,34.28565,2021-10-18,Dell Auto Parser,24.0,67.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-SE2216H-monitor.pdf
Dell,Dell S2216H Monitor,454.0,20.93,"December, 2018",4.497,21.0,China,6.0,EU,31.3611,2021-10-18,Dell Auto Parser,21.7,70.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2216H-monitor.pdf
Dell,Dell S2218H Monitor,491.0,19.55,"December, 2018",4.449,21.0,China,6.0,EU,43.3155,2021-10-18,Dell Auto Parser,27.7,65.5,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2218H-monitor.pdf
Dell,Dell S2218M Monitor,476.0,20.17,"December, 2018",4.388,21.0,China,6.0,EU,41.4405,2021-10-18,Dell Auto Parser,27.4,65.6,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2218M-monitor.pdf
Dell,Dell S2316H Monitor,463.0,20.3,"December, 2018",4.575,23.0,China,6.0,EU,34.1163,2021-10-18,Dell Auto Parser,,69.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2316H-monitor.pdf
Dell,Dell S2318H Monitor,488.0,19.47,"December, 2018",4.839,23.0,China,6.0,EU,43.3155,2021-10-18,Dell Auto Parser,27.9,64.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2318H-monitor.pdf
Dell,Dell S2318HN Monitor,478.0,19.46,"December, 2018",2.591,23.0,China,6.0,EU,45.1905,2021-10-18,Dell Auto Parser,392.0,65.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2318HN-monitor.pdf
Dell,Dell S2318M Monitor,428.0,19.39,"August, 2018",5.34,23.0,China,6.0,EU,43.3155,2021-10-18,Dell Auto Parser,32.0,59.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2318M-monitor.pdf
Dell,Dell S2417DG Monitor,654.0,17.58,"December, 2018",8.025,23.0,China,6.0,EU,64.0905,2021-10-18,Dell Auto Parser,30.8,60.6,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2417DG-monitor.pdf
Dell,Dell SE2417HG Monitor,386.0,18.91,"August, 2018",4.07,24.0,China,6.0,EU,31.8843,2021-10-18,Dell Auto Parser,26.0,66.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-SE2417HG-monitor.pdf
Dell,Dell S2418H Monitor,535.0,20.19,"December, 2018",2.5222,23.0,China,6.0,EU,50.9655,2021-10-18,Dell Auto Parser,29.9,65.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2418H-monitor.pdf
Dell,Dell S2716DG Monitor,684.0,17.4,"December, 2018",9.765,27.0,China,6.0,EU,62.3687,2021-10-18,Dell Auto Parser,28.7,61.1,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2716DG-monitor.pdf
Dell,Dell S2718D Monitor,545.0,21.65,"August, 2018",10.1,27.0,China,6.0,EU,54.4655,2021-10-18,Dell Auto Parser,34.0,53.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2718D-monitor.pdf
Dell,Dell S2718H Monitor,549.0,18.21,"December, 2018",7.7,27.0,China,6.0,EU,47.0655,2021-10-18,Dell Auto Parser,26.9,62.1,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-S2718H-monitor.pdf
Dell,Dell SE2717H Monitor,533.0,18.76,"December, 2018",8.307,27.0,China,6.0,EU,39.5655,2021-10-18,Dell Auto Parser,23.4,65.5,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-SE2717H-monitor.pdf
Dell,Dell P1917S Monitor,433.0,19.86,"December, 2018",5.97,19.0,China,6.0,EU,26.4405,2021-10-18,Dell Auto Parser,19.2,71.4,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P1917S-monitor.pdf
Dell,Dell P1917SWH Monitor,441.0,20.18,"December, 2018",5.97,19.0,China,6.0,EU,26.4405,2021-10-18,Dell Auto Parser,18.8,72.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P1917SWH-monitor.pdf
Dell,Dell P2017H Monitor,422.0,19.67,"December, 2018",5.66,19.0,China,6.0,EU,26.4405,2021-10-18,Dell Auto Parser,19.7,71.3,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2017H-monitor.pdf
Dell,Dell P2317H Monitor,493.0,18.66,"December, 2018",7.32,23.0,China,6.0,EU,35.8155,2021-10-18,Dell Auto Parser,22.9,66.9,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2317H-monitor.pdf
Dell,Dell P2217 Monitor,479.0,18.79,"December, 2018",7.03,22.0,China,6.0,EU,35.8155,2021-10-18,Dell Auto Parser,23.5,67.0,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2217-monitor.pdf
Dell,Dell P2217H Monitor,468.0,19.44,"December, 2018",5.36,22.0,China,6.0,EU,33.9405,2021-10-18,Dell Auto Parser,22.8,68.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2217H-monitor.pdf
Dell,Dell P2217WH Monitor,487.0,18.69,"December, 2018",6.957,22.0,China,6.0,EU,35.8115,2021-10-18,Dell Auto Parser,23.2,66.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2217WH-monitor.pdf
Dell,Dell P2219H Monitor,472.0,19.7,"December, 2018",5.9726,22.0,China,6.0,EU,33.9,2021-10-18,Dell Auto Parser,326.0,68.6,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-p2219h-monitor.pdf
Dell,Dell P2418D Monitor,510.0,18.24,"December, 2018",7.335,23.0,China,6.0,EU,39.5655,2021-10-18,Dell Auto Parser,,65.6,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2418D-monitor.pdf
Dell,Dell P2418HT Monitor,463.0,19.87,"December, 2018",2.894,24.0,China,6.0,EU,35.8155,2021-10-18,Dell Auto Parser,24.4,69.8,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2418HT-monitor.pdf
Dell,Dell P2418HZ Monitor,504.0,18.45,"August, 2018",7.407,23.0,China,6.0,EU,37.6905,2021-10-18,Dell Auto Parser,23.4,66.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2418HZ-monitor.pdf
Dell,Dell P2419H Monitor,505.0,20.4,"December, 2018",6.7426,24.0,China,6.0,EU,35.8,2021-10-18,Dell Auto Parser,,68.3,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-p2419h-monitor.pdf
Dell,Dell P2717H Monitor,508.0,19.09,"December, 2018",3.4762,27.0,China,6.0,EU,45.1905,2021-10-18,Dell Auto Parser,27.9,65.5,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P2717H-monitor.pdf
Dell,Dell P3418HW Monitor,729.0,16.46,"December, 2018",12.2805,34.0,China,6.0,EU,77.2155,2021-10-18,Dell Auto Parser,33.4,55.4,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-P3418HW-monitor.pdf
Dell,Dell E2417H Monitor,496.0,18.75,"December, 2018",5.77,23.0,China,6.0,EU,43.3155,2021-10-18,Dell Auto Parser,27.5,64.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2417H-monitor.pdf
Dell,Dell E1916HE Monitor,401.0,20.45,"December, 2018",3.775,18.0,China,6.0,EU,27.003,2021-10-18,Dell Auto Parser,,72.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E1916HE-monitor.pdf
Dell,Dell E1916HV Monitor,406.0,20.44,"December, 2018",4.0244,19.0,China,6.0,EU,27.003,2021-10-18,Dell Auto Parser,310.0,71.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E1916HV-monitor.pdf
Dell,Dell E2016H Monitor,423.0,20.09,"December, 2018",3.91,20.0,China,6.0,EU,30.1905,2021-10-18,Dell Auto Parser,22.4,70.8,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2016H-monitor.pdf
